Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units,Border_State,Coastal_State,Arrest_Rate,Drug_Diversity,Total_Quantity,Growth_Rate,Risk_Index
2023,Telangana,0.0,0.02,0.0,0.56,0.0,0.0,1.2,0.99,0.0,31132.0,28.21,24.8,6.34,0.13,0.0,9.0,0.0,2.21,0.02,0.0,1.75,0.0,0.0,11.28,0.0,10.0,9.0,2.0,87.53,21407.0,1495.0,3066.0,False,31305.84,1.2,21427.0,0,0,2.0508361204013377,20,52734.04,0.627834485406948,0.2720003488039793
2024,Telangana,0.0,9.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,24427.0,0.0,119.03,2.85,0.0,0.0,132.0,0.0,2.85,107.04,0.0,0.0,3.64,0.0,7.0,0.0,102.0,3654.0,230.0,76.16,6693.0,2387.0,5463.0,False,24857.47,0.0,10709.0,0,0,2.2886468370339337,15,35566.47,-0.3255500621609875,0.20919272655166063
2018,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62232.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177649.0,0.0,275280.0,431.0,629.0,False,62235.12,0.0,452929.0,1,0,1.4593967517401392,4,515164.12,0.0,0.03552065746340188
2019,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15117.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90553.0,0.0,2123163.0,302.0,509.0,False,15121.28,0.0,2213716.0,1,0,1.685430463576159,4,2228837.28,3.3264606238493473,0.04346973047154512
2020,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12724.0,0.0,0.0,75.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191303.0,0.0,584119.0,329.0,406.0,False,12799.32,0.0,775422.0,1,0,1.2340425531914894,4,788221.32,-0.6463531335046585,0.035991695668934294
2021,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45848.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213026.0,0.0,1396589.0,394.0,454.0,False,45852.08,0.0,1609615.0,1,0,1.1522842639593909,4,1655467.08,1.1002566639532159,0.04128714828010028
2022,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84576.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174913.0,0.0,220212.0,627.0,768.0,False,84583.74,0.0,395125.0,1,0,1.2248803827751196,4,479708.74,-0.7102275570469212,0.037244683668266505
2023,Tripura,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49053.0,0.0,0.0,21.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308582.0,0.0,444166.0,662.0,1059.0,False,49076.84,0.0,752748.0,1,0,1.5996978851963746,5,801824.84,0.6714826584147706,0.053603314583568734
2024,Tripura,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29530.0,0.0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100143.0,0.0,1896863.0,509.0,846.0,False,29629.39,0.0,1997006.0,1,0,1.662082514734774,5,2026635.39,1.527528817889952,0.05869083604726308
2018,Uttar Pradesh,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,22308.0,783.0,0.0,102.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,0.0,73.42,0.0,7655.62,17697.0,0.0,0.0,58992.0,8162.0,8395.0,False,30932.88,0.0,76689.0,1,0,1.0285469247733399,10,107621.88,0.0,0.19456255094285968
2019,Uttar Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33839.0,1382.12,0.0,72.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.54,0.0,82.9,0.0,11178.0,0.0,0.0,0.2,105323.0,9708.0,10138.0,False,46585.08,0.0,105323.0,1,0,1.0442933662958385,10,151908.08000000002,0.41149810800554687,0.2099021310225783
