Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units
2023,Madhya Pradesh,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16421.0,125.82,0.0,36.1,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,671.19,0.0,114262.0,394.0,74720.0,0.56,193619.0,6537.0,4969.0,False,131559.31,0.0,268733.0
2023,Maharashtra,0.0,10.79,0.0,71.46,0.0,0.0,2767.34,53.75,0.0,18663.0,368.93,2.04,48.87,20.04,33.01,121.0,0.55,5.45,653.99,0.0,5.92,0.41,0.0,12.64,0.0,696.0,95.0,39616.0,381.95,303978.0,15561.0,14372.0,False,21028.8,2767.34,343810.0
2023,Manipur,0.0,15.72,0.0,0.0,0.0,0.0,0.0,143.68,0.0,491.0,0.0,0.0,183.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,124.44,0.0,0.0,0.0,12360.0,113.48,15541.0,269.0,354.0,False,1072.26,0.0,27901.0
2023,Meghalaya,0.0,17.03,0.0,0.0,0.0,0.0,43.2,0.0,0.0,1448.0,0.0,0.0,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67076.0,0.0,32847.0,185.0,349.0,False,1485.8999999999999,43.2,99923.0
2023,Mizoram,0.0,276.65,0.0,0.0,1.1,0.0,253.3,216.66,0.0,287.0,0.0,0.0,145.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,99.0,1.74,0.0,982.0,1458.0,False,933.42,253.3,99.0
2023,Nagaland,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,0.0,0.0,49.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.26,0.0,0.0,0.0,8898.0,0.0,119906.0,343.0,492.0,False,1260.25,0.0,128804.0
2023,New Delhi,0.0,17.55,0.0,62.27,0.0,0.0,0.0,25.44,0.0,3733.0,82.28,0.0,94.86,8.83,286.7,29013.0,0.0,1.6,0.11,0.0,15.69,0.0,0.0,405.43,0.0,346.0,2141.0,36947.0,2.58,564269.0,1415.0,1655.0,False,5082.34,0.0,632370.0
2023,Odisha,0.0,0.0,0.0,0.0,25.15,0.0,3.42,0.0,0.0,212777.0,0.0,0.0,51.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35,0.0,0.0,1500.0,0.0,0.0,0.0,3765.0,4585.0,False,212864.41,3.42,1500.0
2023,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,356.0,False,129.0,0.0,0.0
2023,Punjab,0.0,1.05,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1809.0,59.75,0.0,1404.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.15,0.0,42594.0,84143.0,3507.0,0.0,8142384.0,11564.0,15870.0,False,46769.78,0.0,8230034.0
2023,Rajasthan,0.0,0.0,0.0,0.34,3.37,0.0,0.0,0.0,0.0,56637.0,10.67,0.0,159.95,0.0,0.0,0.0,0.0,0.01,12.85,0.0,0.33,0.0,0.0,3081.68,0.0,234427.0,255.0,2537.0,8.58,489083.0,5098.0,6001.0,False,294341.78,0.0,491875.0
2023,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1351.0,27.0,38.0,False,1.33,0.0,1353.0
2023,Tamil Nadu,0.0,80.22,0.0,2.96,0.0,0.0,0.0,49.15,0.0,6805.0,1.35,0.0,11.92,0.0,0.0,2670.0,0.0,2.17,0.0,0.05,2.15,0.0,0.0,1.15,0.0,0.0,0.0,0.0,3.2,4050.0,443.0,421.0,False,6959.32,0.0,6720.0
2023,Telangana,0.0,0.02,0.0,0.56,0.0,0.0,1.2,0.99,0.0,31132.0,28.21,24.8,6.34,0.13,0.0,9.0,0.0,2.21,0.02,0.0,1.75,0.0,0.0,11.28,0.0,10.0,9.0,2.0,87.53,21407.0,1495.0,3066.0,False,31305.839999999997,1.2,21427.0
2023,Tripura,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49053.0,0.0,0.0,21.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308582.0,0.0,444166.0,662.0,1059.0,False,49076.84,0.0,752748.0
2023,Uttar Pradesh,0.0,77.14,0.0,0.0,0.0,0.0,16492.0,0.0,0.0,38069.0,1332.76,0.0,107.01,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,61.54,0.0,121.97,0.0,19905.0,26574.0,84445.0,2.98,1512923.0,8221.0,10212.0,False,59678.70000000001,16492.0,1623942.0
2023,Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,249.74,0.0,23.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,0.0,159.0,15590.0,0.0,7.8,825150.0,1347.0,1721.0,False,1939.48,0.0,840740.0
2023,West Bengal,0.07,0.21,0.0,4.29,29.62,70.16,50.13,0.0,0.0,19928.0,13.1,0.0,117.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.37,0.0,58.03,0.0,89.0,27834.0,508112.0,12.2,258502.0,1005.0,1469.0,False,20371.609999999997,120.28999999999999,794448.0
